N0	Nb classe finale	Nb iter	Alt	Nb_iter
0.5		5			19		5	18
1		4			19		4	20
1.5		6			20		4	24
2		5			18		5	17
2.5		4			15		4	15
3		6			14		6	14
3.5		5			15		5	15
4		5			14		5	14
4.5		5			14		5	14
5		4			18		4	18
5.5		5			16		5	16
6		4			18		4	18
6.5		4			18		5	17
7		4			15		4	17
7.5		1			11		1	11
8		1			9		1	9
8.5		1			8		1	8
9		1			7		1	7
9.5		1			11		1	11
