Classe max	Classique	Nb_iter	Alt	Nb_iter
0.1		6	20		7	19
0.2		5	19		4	20
0.3		4	19		4	19
0.4		7	16		6	17
0.5		5	19		5	18
0.6		5	16		6	16
0.7		8	16		8	16
0.8		8	16		8	16
0.9		4	20		4	20
1		4	19		4	20
1.1		5	18		10	7
1.2		5	19		5	19
1.3		4	19		4	20
1.4		5	19		5	19
1.5		6	20		4	24
1.6		4	21		4	21
1.7		6	19		5	20
1.8		4	20		4	19
1.9		4	23		8	17
2		5	18		5	17
2.1		10	7		10	7
2.2		10	12		6	16
2.3		5	16		5	15
2.4		4	16		10	8
2.5		4	15		4	15
2.6		4	15		4	15
2.7		4	17		4	16
2.8		4	16		4	16
2.9		4	16		4	16
3		6	14		6	14
3.1		5	14		5	14
3.2		5	14		5	15
3.3		6	16		5	16
3.4		5	15		5	15
3.5		5	15		5	15
3.6		5	14		5	14
3.7		5	14		5	14
3.8		5	14		5	14
3.9		5	14		5	14
4		5	14		5	14
4.1		5	14		5	14
4.2		5	14		5	14
4.3		5	14		5	14
4.4		5	14		5	14
4.5		5	14		5	14
4.6		5	14		5	14
4.7		4	18		4	18
4.8		4	18		4	18
4.9		4	18		4	18
5		4	18		4	18
5.1		5	18		5	18
5.2		4	18		4	18
5.3		5	16		5	16
5.4		5	16		4	18
5.5		5	16		5	16
5.6		5	16		5	16
5.7		5	16		6	14
5.8		6	14		6	14
5.9		5	16		5	15
6		4	18		4	18
6.1		4	18		4	18
6.2		4	18		4	18
6.3		4	17		4	17
6.4		4	17		4	18
6.5		4	18		5	17
6.6		5	16		4	18
6.7		4	17		4	16
6.8		4	16		4	15
6.9		4	15		4	15
7		4	15		4	17
7.1		4	16		1	14
7.2		1	14		1	12
7.3		1	12		1	12
7.4		1	12		1	11
7.5		1	11		1	11
7.6		9	2		9	2
7.7		1	10		1	10
7.79999		1	10		1	10
7.89999		1	9		1	9
7.99999		1	9		1	9
8.09999		1	9		1	9
8.2		1	9		1	9
8.3		1	9		1	9
8.4		1	8		1	8
8.5		1	8		1	8
8.6		1	8		1	8
8.7		1	8		1	8
8.8		1	8		1	8
8.9		1	7		1	7
9		1	7		1	7
9.1		1	7		1	7
9.2		1	8		1	8
9.3		1	8		1	8
9.4		1	12		1	11
9.5		1	11		1	11
9.6		1	11		1	11
9.7		1	11		1	11
9.8		1	11		1	11
9.9		1	11		1	11
10		1	11		1	10
10.1		1	11		1	10
10.2		1	10		1	10
10.3		1	10		1	10
10.4		1	10		1	10
10.5		1	10		1	10
10.6		1	10		1	10
10.7		1	10		1	10
10.8		1	10		1	10
10.9		1	10		1	10
11		1	10		1	10
11.1		1	10		1	10
11.2		1	10		1	10
11.3		1	10		1	10
11.4		1	10		1	10
11.5		1	10		1	10
11.6		1	10		1	10
11.7		1	10		1	10
11.8		1	10		1	10
11.9		1	10		1	10
12		1	10		1	10
12.1		1	10		1	10
12.2		1	10		1	10
12.3		1	10		1	10
12.4		1	10		1	10
12.5		1	10		1	10
12.6		1	10		1	10
12.7		1	10		1	10
12.8		1	10		2	6
12.9		2	6		2	6
13		2	6		2	6
13.1		1	10		1	10
13.2		1	10		1	10
13.3		1	10		1	10
13.4		1	10		1	10
13.5		1	10		1	10
13.6		1	10		2	6
13.7		2	6		2	6
13.8		2	6		2	6
13.9		2	6		2	6
14		2	6		2	6
14.1		2	6		2	6
14.2		2	6		2	6
14.3		1	8		1	8
14.4		1	8		1	8
14.5		1	8		1	8
14.6		1	8		1	8
14.7		1	8		1	8
14.8		1	8		1	8
14.9		1	8		1	8
15		1	8		1	8
15.1		1	8		1	8
15.2		1	8		1	8
15.3		1	8		1	8
15.4		1	8		1	8
15.5		1	8		1	8
15.6		1	8		1	8
15.7		1	8		1	8
15.8		1	8		1	8
15.9		1	8		1	8
16		1	8		1	8
16.1		1	8		1	8
16.2		1	8		1	8
16.3		1	8		1	8
16.4		1	8		1	8
16.5		1	8		1	8
16.6		1	8		1	8
16.7		1	8		1	8
16.8		1	8		1	8
16.9		1	8		1	8
17		1	8		1	8
17.1		1	8		1	8
17.2		1	8		1	8
17.3		1	8		1	8
17.4		1	8		1	8
17.5		1	8		1	8
17.6		1	8		1	8
17.7		1	8		1	8
17.8		1	8		1	8
17.9		1	8		1	8
18		1	8		1	8
18.1		1	8		1	8
18.2		1	8		1	8
18.3		1	8		1	9
18.4		2	5		2	5
18.5		2	5		2	5
18.6		2	5		2	5
18.7		2	5		2	5
18.8		2	5		2	5
18.9		2	5		2	5
19		2	5		2	5
19.1		2	5		2	5
19.2		2	5		2	5
19.3		2	5		2	5
19.4		2	5		2	5
19.5		2	5		2	5
19.6		2	5		2	5
19.7		2	5		2	5
19.8		2	5		2	5
19.9		2	5		2	5
